,id,symbol,type,interval,amount,startDate,endDate,buy,sell,growth/drop,closed,high,low,Volume,RSI,sell_zscore
65,d1d87f49-82c3-11ec-bafa-f4d1080d95a2,ATMUSDT,rsi,15m,500,2022-01-31 18:30:00,2022-01-31 19:45:00,5.31,5.23,-1.5065913370997963,True,5.31,5.23,25.47,60.440078255300634,0.0
66,d2414122-82c3-11ec-9500-f4d1080d95a2,DNTUSDT,rsi,15m,500,2022-01-31 18:30:00,2022-01-31 20:00:00,0.0818,0.0812,-0.7334963325183415,True,0.0822,0.081,32796.0,57.98649702115486,0.0
67,d2b1a995-82c3-11ec-92fe-f4d1080d95a2,KP3RUSDT,rsi,15m,500,2022-01-31 18:30:00,2022-01-31 19:45:00,944.61,925.22,-2.0526989974698537,True,954.86,925.22,190.26,57.55610968558658,0.0
68,d31a9ce9-82c3-11ec-8d0b-f4d1080d95a2,OGUSDT,rsi,15m,500,2022-01-31 18:30:00,2022-01-31 20:00:00,3.208,3.207,-0.031172069825446815,True,3.239,3.188,2588.8,57.41812799678704,0.0
69,d7151df3-82c3-11ec-8389-f4d1080d95a2,DCRUSDT,rsi,15m,500,2022-01-31 18:30:00,2022-01-31 20:00:00,63.2,62.8,-0.6329113924050722,True,63.4,62.6,279.615,64.7327399724883,0.0
70,e59d33b2-82c5-11ec-b577-f4d1080d95a2,LRCUSDT,rsi,15m,500,2022-01-31 18:45:00,2022-01-31 19:45:00,1.0101,0.9942,-1.5741015741015767,True,1.0191,0.9942,555576.0,58.23490360266587,0.0
71,e63b699b-82c5-11ec-8689-f4d1080d95a2,ONEUSDT,rsi,15m,500,2022-01-31 18:45:00,2022-01-31 20:15:00,0.18594,0.18451,-0.7690652898784484,True,0.187,0.18437,4676776.0,59.242864741563054,0.0
72,e68a70b1-82c5-11ec-8a5c-f4d1080d95a2,DARUSDT,rsi,15m,500,2022-01-31 18:45:00,2022-01-31 20:15:00,0.73859,0.73353,-0.6850891563655009,True,0.74338,0.73084,66337.0,59.18055632333084,0.0
73,e7655b39-82c5-11ec-993f-f4d1080d95a2,JSTUSDT,rsi,15m,500,2022-01-31 18:45:00,2022-01-31 20:15:00,0.04198,0.04196,-0.04764173415913798,True,0.04222,0.04184,3814552.6,58.7349486352228,0.0
74,03bedc66-82c6-11ec-bda7-f4d1080d95a2,BNXUSDT,rsi,15m,500,2022-01-31 18:45:00,2022-01-31 20:15:00,20.4,20.3,-0.49019607843136215,True,20.7,20.3,129.561,57.47009809535086,0.0
75,1516e155-82c6-11ec-88f4-f4d1080d95a2,CLVUSDT,rsi,15m,500,2022-01-31 18:45:00,2022-01-31 20:15:00,0.343,0.341,-0.5830903790087468,True,0.345,0.34,117097.9,62.77401656258102,0.0
76,449735b4-82c6-11ec-918e-f4d1080d95a2,DOCKUSDT,rsi,15m,500,2022-01-31 18:45:00,2022-01-31 20:15:00,0.04281,0.04239,-0.9810791871058251,True,0.04312,0.04227,74160.0,58.73965897701805,0.0
