symbol,interval,price,buyAmount,gainProfit,gainAmount,totalAmount,startDate,endDate,avgDate,volume,quoteVolume
BTCUSDT,30M,null,500,1.729376022,8.646880112,508.6468801,8/3/2021 3:35,8/3/2021 12:50,0 days 09:15:00,1187489.75,1526571.564
BTCUSDT,30M,null,500,1.697466343,8.487331717,508.4873317,7/25/2021 14:40,7/25/2021 22:30,0 days 07:50:00,290940,348394.6125
BTCUSDT,30M,null,500,1.68760114,8.438005702,508.4380057,7/12/2021 19:55,7/12/2021 23:15,0 days 03:20:00,354488.83,460303.3207
BTCUSDT,30M,null,500,1.686685408,8.433427038,508.433427,7/16/2021 11:00,7/17/2021 19:55,1 days 08:55:00,747723.28,876903.595
BTCUSDT,30M,null,500,1.674606612,8.373033059,508.3730331,8/16/2021 20:10,8/17/2021 1:25,0 days 05:15:00,2411311.39,4999674.568
BTCUSDT,30M,null,500,1.672216056,8.361080281,508.3610803,7/8/2021 8:10,7/8/2021 17:30,0 days 09:20:00,1597200.64,2153952.44
BTCUSDT,30M,null,500,1.665556296,8.327781479,508.3277815,7/20/2021 3:30,7/20/2021 15:25,0 days 11:55:00,2755574.4,2901030.391
BTCUSDT,30M,null,500,1.660685972,8.303429859,508.3034299,7/25/2021 14:50,7/25/2021 23:00,0 days 08:10:00,205796.18,246292.1717
BTCUSDT,30M,null,500,1.625135428,8.12567714,508.1256771,7/12/2021 20:00,7/13/2021 7:10,0 days 11:10:00,975409,1262638.371
BTCUSDT,30M,null,500,1.597042514,7.985212569,507.9852126,7/8/2021 8:00,7/8/2021 17:30,0 days 09:30:00,1825904.66,2478037.604
BTCUSDT,30M,null,500,1.575943436,7.879717182,507.8797172,7/16/2021 10:50,7/17/2021 19:50,1 days 09:00:00,991092.34,1163547.235
BTCUSDT,30M,null,500,1.56555773,7.82778865,507.8277886,7/16/2021 10:15,7/17/2021 19:55,1 days 09:40:00,1065768.44,1252116.843
BTCUSDT,30M,null,500,1.558230559,7.791152795,507.7911528,7/8/2021 7:45,7/8/2021 17:35,0 days 09:50:00,1364863.66,1846792.06
BTCUSDT,30M,null,500,1.545551223,7.727756115,507.7277561,8/8/2021 19:15,8/9/2021 8:40,0 days 13:25:00,3753901.94,5293842.347
BTCUSDT,30M,null,500,1.514479905,7.572399527,507.5723995,7/8/2021 8:30,7/8/2021 17:30,0 days 09:00:00,1103082.38,1493589.686
BTCUSDT,30M,null,500,1.509087877,7.545439386,507.5454394,7/25/2021 14:30,7/25/2021 22:55,0 days 08:25:00,918271.3,1099886.819
BTCUSDT,30M,null,500,1.506980867,7.534904336,507.5349043,7/8/2021 7:50,7/8/2021 17:30,0 days 09:40:00,1557377.86,2106194.188
BTCUSDT,30M,null,500,1.486988848,7.434944238,507.4349442,8/15/2021 7:10,8/15/2021 19:45,0 days 12:35:00,2916116.93,6131074.93
BTCUSDT,30M,null,500,1.424731183,7.123655914,507.1236559,7/19/2021 13:45,7/19/2021 22:25,0 days 08:40:00,2048820.55,2291820.771
BTCUSDT,30M,null,500,1.424564511,7.122822557,507.1228226,7/8/2021 8:40,7/8/2021 17:30,0 days 08:50:00,480544.83,650680.5522
BTCUSDT,30M,null,500,1.417078751,7.085393756,507.0853938,7/8/2021 8:20,7/8/2021 17:30,0 days 09:10:00,686154.46,930471.1799
BTCUSDT,30M,null,500,1.402721279,7.013606396,507.0136064,8/8/2021 17:05,8/8/2021 22:20,0 days 05:15:00,1567773.21,2238613.912
BTCUSDT,30M,null,500,1.375124837,6.875624184,506.8756242,7/12/2021 19:35,7/12/2021 23:15,0 days 03:40:00,923788.78,1200299.219
BTCUSDT,30M,null,500,1.3671875,6.8359375,506.8359375,7/16/2021 9:35,7/17/2021 19:55,1 days 10:20:00,667804.46,788541.0828
BTCUSDT,30M,null,500,1.356864978,6.784324889,506.7843249,7/20/2021 3:50,7/20/2021 15:25,0 days 11:35:00,682257.73,718746.0555
BTCUSDT,30M,null,500,1.351766513,6.758832565,506.7588326,7/12/2021 19:25,7/12/2021 23:15,0 days 03:50:00,422793.04,551209.2073
BTCUSDT,30M,null,500,1.312394013,6.561970066,506.5619701,7/8/2021 7:40,7/8/2021 17:30,0 days 09:50:00,5342953.85,7240186.876
