symbol,interval,price,buyAmount,gainProfit,gainAmount,totalAmount,startDate,endDate,avgDate,volume,quoteVolume
BNBUSDT,5M,null,500,-3.188033272642893,-15.940166363214464,484.0598336367855,2021-07-19 13:05:00,2021-07-20 15:25:00,1 days 02:20:00,12524.87490000,3518421.11658600
BNBUSDT,5M,null,500,-4.1868353178108215,-20.934176589054108,479.0658234109459,2021-07-19 13:15:00,2021-07-20 15:25:00,1 days 02:10:00,20326.54010000,5748143.33418500
BNBUSDT,5M,null,500,-3.836879432624111,-19.184397163120554,480.81560283687946,2021-07-19 13:25:00,2021-07-20 15:25:00,1 days 02:00:00,6955.18480000,1960294.07764800
BNBUSDT,5M,null,500,-3.6284160773303884,-18.14208038665194,481.8579196133481,2021-07-19 13:35:00,2021-07-20 15:25:00,1 days 01:50:00,5883.26670000,1654677.52658300
BNBUSDT,5M,null,500,-3.091162491512696,-15.45581245756348,484.5441875424365,2021-07-19 13:45:00,2021-07-20 15:25:00,1 days 01:40:00,5287.45880000,1482478.19639300
BNBUSDT,5M,null,500,-3.1811203541718625,-15.905601770859313,484.09439822914067,2021-07-19 13:55:00,2021-07-20 15:25:00,1 days 01:30:00,6498.00710000,1822198.48836900
BNBUSDT,5M,null,500,-3.635265271312326,-18.17632635656163,481.8236736434384,2021-07-19 14:05:00,2021-07-20 15:25:00,1 days 01:20:00,7324.71980000,2057351.73185200
BNBUSDT,5M,null,500,-3.6318407960198904,-18.159203980099452,481.84079601990055,2021-07-19 14:15:00,2021-07-20 15:25:00,1 days 01:10:00,5632.72630000,1586674.19867800
BNBUSDT,5M,null,500,-3.9764880846995565,-19.882440423497783,480.11755957650223,2021-07-19 14:25:00,2021-07-20 15:25:00,1 days 01:00:00,4695.48600000,1324632.97426800
BNBUSDT,5M,null,500,-4.668494691696538,-23.34247345848269,476.6575265415173,2021-07-19 14:35:00,2021-07-20 15:25:00,1 days 00:50:00,8919.56440000,2531681.76461100
BNBUSDT,5M,null,500,-4.480450862979913,-22.402254314899565,477.59774568510045,2021-07-19 14:50:00,2021-07-20 15:25:00,1 days 00:35:00,5025.01700000,1427771.88051400
BNBUSDT,5M,null,500,0.825401546698404,4.12700773349202,504.12700773349206,2021-07-20 02:20:00,2021-07-20 15:25:00,0 days 13:05:00,25055.56780000,6757993.32277100
BNBUSDT,5M,null,500,1.0056615017878383,5.028307508939191,505.02830750893924,2021-07-20 02:30:00,2021-07-20 15:25:00,0 days 12:55:00,8714.15580000,2339497.31428500
BNBUSDT,5M,null,500,1.4781274557497244,7.390637278748621,507.39063727874867,2021-07-20 02:40:00,2021-07-20 15:25:00,0 days 12:45:00,6404.56840000,1717768.40171300
BNBUSDT,5M,null,500,1.8669471469892296,9.334735734946147,509.33473573494615,2021-07-20 02:55:00,2021-07-20 15:25:00,0 days 12:30:00,17171.79680000,4573495.42068900
BNBUSDT,5M,null,500,1.6531094200997207,8.265547100498605,508.2655471004986,2021-07-20 03:10:00,2021-07-20 15:25:00,0 days 12:15:00,6702.61940000,1794284.18606200
BNBUSDT,5M,null,500,3.6422702082935334,18.211351041467665,518.2113510414677,2021-07-20 03:20:00,2021-07-20 15:25:00,0 days 12:05:00,29702.07650000,7757349.21912700
BNBUSDT,5M,null,500,4.816017316017308,24.080086580086537,524.0800865800866,2021-07-20 03:30:00,2021-07-20 15:25:00,0 days 11:55:00,17998.45630000,4678759.85399700
BNBUSDT,5M,null,500,4.283956314413161,21.41978157206581,521.4197815720659,2021-07-20 03:40:00,2021-07-20 15:25:00,0 days 11:45:00,7720.78110000,2015662.83500000
BNBUSDT,5M,null,500,4.492909987669553,22.46454993834777,522.4645499383478,2021-07-20 03:50:00,2021-07-20 15:25:00,0 days 11:35:00,9687.30570000,2516813.20647300
BNBUSDT,5M,null,500,3.7652100711716665,18.82605035585833,518.8260503558583,2021-07-20 04:00:00,2021-07-20 15:25:00,0 days 11:25:00,9035.76290000,2357356.88896900
BNBUSDT,5M,null,500,3.757269666360573,18.786348331802863,518.7863483318029,2021-07-20 04:10:00,2021-07-20 15:25:00,0 days 11:15:00,6876.76510000,1798682.51834400
BNBUSDT,5M,null,500,3.9083454670855957,19.54172733542798,519.541727335428,2021-07-20 04:20:00,2021-07-20 15:25:00,0 days 11:05:00,5501.71350000,1435989.70928900
BNBUSDT,5M,null,500,-8.251273344651956,-41.25636672325978,458.74363327674024,2021-07-19 12:10:00,2021-07-20 15:30:00,1 days 03:20:00,4259.66200000,1254959.08223100
BNBUSDT,5M,null,500,-6.6182823570070966,-33.09141178503548,466.9085882149645,2021-07-19 12:30:00,2021-07-20 15:30:00,1 days 03:00:00,26333.61280000,7665978.13409200
BNBUSDT,5M,null,500,-4.381060230731118,-21.90530115365559,478.09469884634444,2021-07-19 12:50:00,2021-07-20 15:30:00,1 days 02:40:00,15410.63530000,4353160.96527000
BNBUSDT,5M,null,500,-3.928888888888893,-19.644444444444463,480.35555555555555,2021-07-19 13:10:00,2021-07-20 15:30:00,1 days 02:20:00,17815.20340000,4990024.47414000
BNBUSDT,5M,null,500,-3.8091847632609435,-19.045923816304718,480.9540761836953,2021-07-19 13:30:00,2021-07-20 15:30:00,1 days 02:00:00,12022.24970000,3378535.57553000
BNBUSDT,5M,null,500,-3.472420691626189,-17.362103458130942,482.63789654186905,2021-07-19 13:50:00,2021-07-20 15:30:00,1 days 01:40:00,11589.63700000,3250250.24651400
BNBUSDT,5M,null,500,-3.935720126568775,-19.678600632843875,480.3213993671561,2021-07-19 14:10:00,2021-07-20 15:30:00,1 days 01:20:00,4745.07570000,1335249.38439000
BNBUSDT,5M,null,500,-4.825642831983089,-24.128214159915444,475.87178584008456,2021-07-19 14:30:00,2021-07-20 15:30:00,1 days 01:00:00,9061.18670000,2565040.91010900
BNBUSDT,5M,null,500,-4.906032237629336,-24.530161188146682,475.4698388118533,2021-07-19 15:00:00,2021-07-20 15:30:00,1 days 00:30:00,4295.62700000,1221064.42263700
BNBUSDT,5M,null,500,0.4871880694707882,2.4359403473539407,502.43594034735395,2021-07-20 02:35:00,2021-07-20 15:30:00,0 days 12:55:00,7541.70850000,2029301.96892100
BNBUSDT,5M,null,500,1.350337584396086,6.75168792198043,506.7516879219804,2021-07-20 03:00:00,2021-07-20 15:30:00,0 days 12:30:00,11459.67380000,3056723.87286300
